Magnitude,Type,Ingredient 1,Ingredient 2,Ingredient 3,Effects,Effect 1,Effect 2,Effect 3,Effect 4,Effect 5,MyPotionID,Can Make
11,Mixed,Mora Tapinella,Taproot,Torchbug Thorax,3,Restore Magicka,Fortify Illusion,Weakness to Magic,,,14294,TRUE
11,Mixed,Red Mountain Flower,Taproot,Void Salts,3,Restore Magicka,Damage Health,Fortify Magicka,,,14979,TRUE
11,Mixed,Red Mountain Flower,Tundra Cotton,White Cap,3,Fortify Magicka,Restore Magicka,Ravage Magicka,,,14989,TRUE
11,Mixed,Red Mountain Flower,Vampire Dust,Void Salts,3,Restore Magicka,Damage Health,Fortify Magicka,,,14992,TRUE
11,Mixed,Salt Pile,Scaly Pholiota,Taproot,3,Weakness to Magic,Fortify Illusion,Regenerate Magicka,,,15126,TRUE
11,Mixed,Scaly Pholiota,Taproot,Vampire Dust,3,Weakness to Magic,Fortify Illusion,Restore Magicka,,,15146,TRUE
11,Mixed,Scaly Pholiota,Taproot,White Cap,3,Weakness to Magic,Fortify Illusion,Restore Magicka,,,15147,TRUE
11,Potion,Fire Salts,Taproot,,2,Restore Magicka,Regenerate Magicka,,,,10150,TRUE
11,Potion,Creep Cluster,Fire Salts,Garlic,2,Restore Magicka,Regenerate Magicka,,,,6355,TRUE
11,Potion,Dragons Tongue,Fly Amanita,Taproot,3,Resist Fire,Fortify Two-handed,Fortify Illusion,,,8095,TRUE
11,Potion,Dragons Tongue,Mudcrab Chitin,Troll Fat,3,Resist Fire,Resist Poison,Fortify Two-handed,,,8143,TRUE
11,Potion,Ectoplasm,Fire Salts,Garlic,2,Restore Magicka,Regenerate Magicka,,,,8497,TRUE
11,Potion,Ectoplasm,Fire Salts,Glow Dust,2,Restore Magicka,Fortify Destruction,,,,8498,TRUE
11,Potion,Ectoplasm,Fire Salts,Salt Pile,2,Restore Magicka,Regenerate Magicka,,,,8513,TRUE
11,Potion,Ectoplasm,Fire Salts,Taproot,2,Restore Magicka,Regenerate Magicka,,,,8517,TRUE
11,Potion,Fire Salts,Garlic,Giant Lichen,2,Regenerate Magicka,Restore Magicka,,,,9949,TRUE
11,Potion,Fire Salts,Garlic,Mora Tapinella,2,Regenerate Magicka,Restore Magicka,,,,9958,TRUE
11,Potion,Fire Salts,Garlic,Red Mountain Flower,2,Regenerate Magicka,Restore Magicka,,,,9963,TRUE
11,Potion,Fire Salts,Garlic,Taproot,2,Regenerate Magicka,Restore Magicka,,,,9966,TRUE
11,Potion,Fire Salts,Giant Lichen,Salt Pile,2,Restore Magicka,Regenerate Magicka,,,,9980,TRUE
11,Potion,Fire Salts,Giant Lichen,Taproot,2,Restore Magicka,Regenerate Magicka,,,,9985,TRUE
11,Potion,Fire Salts,Mora Tapinella,Salt Pile,2,Restore Magicka,Regenerate Magicka,,,,10078,TRUE
11,Potion,Fire Salts,Red Mountain Flower,Salt Pile,2,Restore Magicka,Regenerate Magicka,,,,10122,TRUE
11,Potion,Fire Salts,Red Mountain Flower,Taproot,2,Restore Magicka,Regenerate Magicka,,,,10126,TRUE
11,Potion,Fire Salts,Salt Pile,Vampire Dust,2,Regenerate Magicka,Restore Magicka,,,,10138,TRUE
11,Potion,Mudcrab Chitin,Purple Mountain Flower,Snowberries,3,Restore Stamina,Resist Fire,Resist Frost,,,14341,TRUE
10,Mixed,Blisterwort,Rock Warbler Egg,Salt Pile,3,Damage Stamina,Restore Health,Weakness to Magic,,,2627,TRUE
10,Mixed,Blisterwort,Rock Warbler Egg,Scaly Pholiota,3,Damage Stamina,Restore Health,Weakness to Magic,,,2628,TRUE
10,Mixed,Blisterwort,Rock Warbler Egg,Taproot,3,Damage Stamina,Restore Health,Weakness to Magic,,,2631,TRUE
10,Mixed,Blisterwort,Rock Warbler Egg,Torchbug Thorax,3,Damage Stamina,Restore Health,Weakness to Magic,,,2632,TRUE
10,Mixed,Blue Butterfly Wing,Bone Meal,Deathbell,3,Damage Stamina,Fortify Conjuration,Ravage Stamina,,,2688,TRUE
10,Mixed,Blue Butterfly Wing,Bone Meal,Honeycomb,3,Damage Stamina,Fortify Conjuration,Ravage Stamina,,,2696,TRUE
10,Mixed,Blue Butterfly Wing,Bone Meal,Thistle Branch,3,Damage Stamina,Fortify Conjuration,Ravage Stamina,,,2704,TRUE
10,Mixed,Blue Dartwing,Glow Dust,Nordic Barnacle,3,Resist Shock,Damage Magicka,Fortify Pickpocket,,,3204,TRUE
10,Mixed,Blue Mountain Flower,Imp Stool,River Betty,2,Restore Health,Damage Health,,,,3720,TRUE
10,Mixed,Bone Meal,Canis Root,Elves Ear,3,Damage Stamina,Fortify Marksman,Resist Fire,,,3798,TRUE
10,Mixed,Bone Meal,Elves Ear,Spider Egg,3,Resist Fire,Damage Stamina,Fortify Marksman,,,3944,TRUE
10,Mixed,Bone Meal,Honeycomb,Mudcrab Chitin,3,Ravage Stamina,Restore Stamina,Resist Fire,,,4057,TRUE
10,Mixed,Butterfly Wing,Imp Stool,River Betty,2,Restore Health,Damage Health,,,,4826,TRUE
10,Mixed,Deathbell,Ectoplasm,Giant Lichen,3,Damage Health,Weakness to Poison,Restore Magicka,,,7730,TRUE
10,Mixed,Deathbell,Giant Lichen,Red Mountain Flower,3,Weakness to Poison,Restore Magicka,Damage Health,,,7791,TRUE
10,Mixed,Deathbell,Red Mountain Flower,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,7974,TRUE
10,Mixed,Ectoplasm,Elves Ear,River Betty,2,Restore Magicka,Damage Health,,,,8453,TRUE
10,Mixed,Ectoplasm,Giant Lichen,River Betty,2,Restore Magicka,Damage Health,,,,8569,TRUE
10,Mixed,Ectoplasm,Glow Dust,River Betty,2,Fortify Destruction,Damage Health,,,,8600,TRUE
10,Mixed,Ectoplasm,Histcarp,Nightshade,3,Fortify Magicka,Damage Health,Fortify Destruction,,,8679,TRUE
10,Mixed,Ectoplasm,Mora Tapinella,River Betty,2,Restore Magicka,Damage Health,,,,8818,TRUE
10,Mixed,Ectoplasm,Nightshade,Tundra Cotton,3,Fortify Destruction,Damage Health,Fortify Magicka,,,8836,TRUE
10,Mixed,Ectoplasm,Nightshade,Void Salts,3,Fortify Destruction,Damage Health,Fortify Magicka,,,8838,TRUE
10,Mixed,Ectoplasm,River Betty,Taproot,2,Damage Health,Restore Magicka,,,,8877,TRUE
10,Mixed,Ectoplasm,River Betty,Vampire Dust,2,Damage Health,Restore Magicka,,,,8879,TRUE
10,Mixed,Ectoplasm,River Betty,White Cap,2,Damage Health,Restore Magicka,,,,8881,TRUE
10,Mixed,Elves Ear,Ice Wraith Teeth,White Cap,3,Weakness to Frost,Fortify Heavy Armor,Restore Magicka,,,9037,TRUE
10,Mixed,Elves Ear,Red Mountain Flower,River Betty,2,Restore Magicka,Damage Health,,,,9114,TRUE
10,Mixed,Elves Ear,Red Mountain Flower,White Cap,3,Restore Magicka,Weakness to Frost,Ravage Magicka,,,9122,TRUE
10,Mixed,Fly Amanita,Mora Tapinella,Troll Fat,3,Regenerate Stamina,Fortify Two-handed,Frenzy,,,10197,TRUE
10,Mixed,Fly Amanita,Scaly Pholiota,Troll Fat,3,Regenerate Stamina,Fortify Two-handed,Frenzy,,,10220,TRUE
10,Mixed,Giant Lichen,Red Mountain Flower,River Betty,2,Restore Magicka,Damage Health,,,,11215,TRUE
10,Mixed,Honeycomb,Luna Moth Wing,Nordic Barnacle,3,Fortify Light Armor,Damage Magicka,Regenerate Health,,,12842,TRUE
10,Mixed,Honeycomb,Orange Dartwing,Slaughterfish Scales,3,Restore Stamina,Lingering Damage Health,Fortify Block,,,12872,TRUE
10,Mixed,Honeycomb,Purple Mountain Flower,Thistle Branch,3,Restore Stamina,Resist Frost,Ravage Stamina,,,12909,TRUE
10,Mixed,Ice Wraith Teeth,Vampire Dust,White Cap,4,Invisibility,Weakness to Frost,Fortify Heavy Armor,Restore Magicka,,13387,TRUE
10,Mixed,Imp Stool,Mora Tapinella,Scaly Pholiota,3,Lingering Damage Health,Fortify Illusion,Regenerate Stamina,,,13411,TRUE
10,Mixed,Imp Stool,Mora Tapinella,Taproot,3,Lingering Damage Health,Fortify Illusion,Restore Magicka,,,13415,TRUE
10,Mixed,Imp Stool,Nirnroot,Rock Warbler Egg,3,Damage Health,Restore Health,Damage Stamina,,,13434,TRUE
10,Mixed,Imp Stool,River Betty,Rock Warbler Egg,2,Damage Health,Restore Health,,,,13477,TRUE
10,Mixed,Imp Stool,River Betty,Swamp Fungal Pod,3,Damage Health,Paralysis,Restore Health,,,13483,TRUE
10,Mixed,Luna Moth Wing,Nordic Barnacle,Skeever Tail,3,Damage Magicka,Regenerate Health,Fortify Light Armor,,,14095,TRUE
10,Mixed,Mora Tapinella,Orange Dartwing,Scaly Pholiota,3,Lingering Damage Health,Fortify Illusion,Regenerate Stamina,,,14233,TRUE
10,Mixed,Mora Tapinella,Orange Dartwing,Taproot,3,Lingering Damage Health,Fortify Illusion,Restore Magicka,,,14237,TRUE
10,Mixed,Mora Tapinella,Red Mountain Flower,River Betty,2,Restore Magicka,Damage Health,,,,14259,TRUE
10,Mixed,Mora Tapinella,Scaly Pholiota,Slaughterfish Scales,3,Regenerate Stamina,Fortify Illusion,Lingering Damage Health,,,14272,TRUE
10,Mixed,Mora Tapinella,Slaughterfish Scales,Taproot,3,Lingering Damage Health,Fortify Illusion,Restore Magicka,,,14288,TRUE
10,Mixed,Red Mountain Flower,River Betty,Taproot,2,Damage Health,Restore Magicka,,,,14955,TRUE
10,Mixed,Red Mountain Flower,River Betty,Vampire Dust,2,Damage Health,Restore Magicka,,,,14957,TRUE
10,Mixed,River Betty,Scaly Pholiota,Taproot,3,Fortify Carry Weight,Weakness to Magic,Fortify Illusion,,,15013,TRUE
10,Potion,Blisterwort,Blue Mountain Flower,Lavender,2,Restore Health,Fortify Conjuration,,,,2204,TRUE
10,Potion,Blue Mountain Flower,Bone Meal,Butterfly Wing,2,Fortify Conjuration,Restore Health,,,,3390,TRUE
10,Potion,Blue Mountain Flower,Bone Meal,Imp Stool,2,Fortify Conjuration,Restore Health,,,,3409,TRUE
10,Potion,Blue Mountain Flower,Bone Meal,Swamp Fungal Pod,2,Fortify Conjuration,Restore Health,,,,3418,TRUE
10,Potion,Blue Mountain Flower,Butterfly Wing,Lavender,2,Restore Health,Fortify Conjuration,,,,3436,TRUE
10,Potion,Blue Mountain Flower,Hagraven Feathers,Imp Stool,2,Fortify Conjuration,Restore Health,,,,3668,TRUE
10,Potion,Blue Mountain Flower,Hagraven Feathers,Rock Warbler Egg,2,Fortify Conjuration,Restore Health,,,,3674,TRUE
10,Potion,Blue Mountain Flower,Hagraven Feathers,Swamp Fungal Pod,2,Fortify Conjuration,Restore Health,,,,3677,TRUE
10,Potion,Blue Mountain Flower,Imp Stool,Lavender,2,Restore Health,Fortify Conjuration,,,,3714,TRUE
10,Potion,Blue Mountain Flower,Lavender,Rock Warbler Egg,2,Fortify Conjuration,Restore Health,,,,3753,TRUE
10,Potion,Blue Mountain Flower,Lavender,Swamp Fungal Pod,2,Fortify Conjuration,Restore Health,,,,3757,TRUE
10,Potion,Creep Cluster,Ectoplasm,Glow Dust,2,Restore Magicka,Fortify Destruction,,,,6299,TRUE
10,Potion,Creep Cluster,Fire Salts,River Betty,2,Restore Magicka,Fortify Carry Weight,,,,6365,TRUE
10,Potion,Ectoplasm,Elves Ear,Glow Dust,2,Restore Magicka,Fortify Destruction,,,,8439,TRUE
10,Potion,Ectoplasm,Fire Salts,Histcarp,2,Restore Magicka,Fortify Magicka,,,,8500,TRUE
10,Potion,Ectoplasm,Fire Salts,Tundra Cotton,2,Restore Magicka,Fortify Magicka,,,,8519,TRUE
10,Potion,Ectoplasm,Giant Lichen,Glow Dust,2,Restore Magicka,Fortify Destruction,,,,8556,TRUE
10,Potion,Ectoplasm,Glow Dust,Mora Tapinella,2,Fortify Destruction,Restore Magicka,,,,8592,TRUE
10,Potion,Ectoplasm,Glow Dust,Taproot,2,Fortify Destruction,Restore Magicka,,,,8607,TRUE
10,Potion,Ectoplasm,Glow Dust,Vampire Dust,2,Fortify Destruction,Restore Magicka,,,,8610,TRUE
10,Potion,Ectoplasm,Glow Dust,White Cap,2,Fortify Destruction,Restore Magicka,,,,8612,TRUE
10,Potion,Fire Salts,Garlic,Luna Moth Wing,2,Regenerate Magicka,Regenerate Health,,,,9956,TRUE
10,Potion,Fire Salts,Garlic,Nordic Barnacle,2,Regenerate Magicka,Regenerate Health,,,,9961,TRUE
10,Potion,Fire Salts,Red Mountain Flower,Tundra Cotton,2,Restore Magicka,Fortify Magicka,,,,10128,TRUE
10,Potion,Fly Amanita,Mora Tapinella,Red Mountain Flower,2,Regenerate Stamina,Restore Magicka,,,,10191,TRUE
10,Potion,Fly Amanita,Mora Tapinella,Vampire Dust,2,Regenerate Stamina,Restore Magicka,,,,10198,TRUE
10,Potion,Fly Amanita,Mora Tapinella,White Cap,2,Regenerate Stamina,Restore Magicka,,,,10199,TRUE
10,Potion,Garlic,Luna Moth Wing,Salt Pile,2,Regenerate Health,Regenerate Magicka,,,,10977,TRUE
10,Potion,Garlic,Luna Moth Wing,Taproot,2,Regenerate Health,Regenerate Magicka,,,,10980,TRUE
10,Potion,Garlic,Nordic Barnacle,Salt Pile,2,Regenerate Health,Regenerate Magicka,,,,11036,TRUE
10,Potion,Garlic,Nordic Barnacle,Taproot,2,Regenerate Health,Regenerate Magicka,,,,11038,TRUE
10,Potion,Garlic,Salt Pile,Vampire Dust,2,Regenerate Magicka,Regenerate Health,,,,11051,TRUE
10,Potion,Garlic,Taproot,White Cap,2,Regenerate Magicka,Restore Magicka,,,,11061,TRUE
10,Potion,Garlic,Vampire Dust,White Cap,2,Regenerate Health,Restore Magicka,,,,11075,TRUE
10,Potion,Histcarp,Mudcrab Chitin,Vampire Dust,2,Restore Stamina,Cure Disease,,,,12684,TRUE
10,Potion,Honeycomb,Mudcrab Chitin,Vampire Dust,2,Restore Stamina,Cure Disease,,,,12866,TRUE
10,Potion,Luna Moth Wing,Vampire Dust,White Cap,3,Regenerate Health,Invisibility,Restore Magicka,,,14105,TRUE
10,Potion,Mudcrab Chitin,Orange Dartwing,Vampire Dust,2,Restore Stamina,Cure Disease,,,,14304,TRUE
10,Potion,Mudcrab Chitin,Purple Mountain Flower,Vampire Dust,2,Restore Stamina,Cure Disease,,,,14346,TRUE
10,Potion,Mudcrab Chitin,Snowberries,Thistle Branch,3,Resist Fire,Resist Frost,Resist Poison,,,14383,TRUE
10,Potion,Mudcrab Chitin,Torchbug Thorax,Vampire Dust,2,Restore Stamina,Cure Disease,,,,14395,TRUE
10,Potion,Mudcrab Chitin,Vampire Dust,White Cap,2,Cure Disease,Restore Magicka,,,,14402,TRUE
10,Potion,Nordic Barnacle,Vampire Dust,White Cap,2,Regenerate Health,Restore Magicka,,,,14578,TRUE
9,Mixed,Fire Salts,White Cap,,2,Weakness to Frost,Restore Magicka,,,,10153,TRUE
9,Mixed,Blisterwort,Blue Butterfly Wing,Hagraven Feathers,3,Damage Stamina,Fortify Conjuration,Frenzy,,,2143,TRUE
9,Mixed,Blisterwort,Bone Meal,Hagraven Feathers,3,Damage Stamina,Fortify Conjuration,Frenzy,,,2226,TRUE
9,Mixed,Blisterwort,Butterfly Wing,Hagraven Feathers,3,Restore Health,Damage Magicka,Frenzy,,,2255,TRUE
9,Mixed,Blisterwort,Fly Amanita,Rock Warbler Egg,3,Frenzy,Restore Health,Damage Stamina,,,2488,TRUE
9,Mixed,Blisterwort,Hagraven Feathers,Rock Warbler Egg,3,Frenzy,Restore Health,Damage Stamina,,,2546,TRUE
9,Mixed,Blisterwort,Rock Warbler Egg,Troll Fat,3,Damage Stamina,Restore Health,Frenzy,,,2633,TRUE
9,Mixed,Blue Butterfly Wing,Lavender,Nirnroot,3,Fortify Conjuration,Damage Stamina,Resist Magic,,,2963,TRUE
9,Mixed,Bone Meal,Fly Amanita,Hagraven Feathers,3,Resist Fire,Fortify Conjuration,Frenzy,,,3977,TRUE
9,Mixed,Bone Meal,Lavender,Nirnroot,3,Fortify Conjuration,Damage Stamina,Resist Magic,,,4095,TRUE
9,Mixed,Bone Meal,Mudcrab Chitin,Thistle Branch,3,Resist Fire,Ravage Stamina,Resist Poison,,,4121,TRUE
9,Mixed,Canis Root,Rock Warbler Egg,Salt Pile,3,Damage Stamina,Fortify One-Handed,Weakness to Magic,,,5148,TRUE
9,Mixed,Canis Root,Rock Warbler Egg,Scaly Pholiota,3,Damage Stamina,Fortify One-Handed,Weakness to Magic,,,5149,TRUE
9,Mixed,Canis Root,Rock Warbler Egg,Taproot,3,Damage Stamina,Fortify One-Handed,Weakness to Magic,,,5152,TRUE
9,Mixed,Canis Root,Rock Warbler Egg,Torchbug Thorax,3,Damage Stamina,Fortify One-Handed,Weakness to Magic,,,5153,TRUE
9,Mixed,Creep Cluster,Fire Salts,Ice Wraith Teeth,2,Restore Magicka,Weakness to Frost,,,,6359,TRUE
9,Mixed,Creep Cluster,Fire Salts,White Cap,2,Restore Magicka,Weakness to Frost,,,,6375,TRUE
9,Mixed,Creep Cluster,River Betty,Troll Fat,2,Fortify Carry Weight,Damage Health,,,,6730,TRUE
9,Mixed,Creep Cluster,River Betty,Void Salts,2,Fortify Carry Weight,Damage Health,,,,6732,TRUE
9,Mixed,Deathbell,Ectoplasm,Fire Salts,2,Damage Health,Restore Magicka,,,,7728,TRUE
9,Mixed,Deathbell,Thistle Branch,Troll Fat,3,Ravage Stamina,Resist Poison,Damage Health,,,8014,TRUE
9,Mixed,Ectoplasm,Fire Salts,Ice Wraith Teeth,2,Restore Magicka,Weakness to Frost,,,,8503,TRUE
9,Mixed,Ectoplasm,Fire Salts,White Cap,2,Restore Magicka,Weakness to Frost,,,,8521,TRUE
9,Mixed,Ectoplasm,Giant Lichen,Skeever Tail,3,Restore Magicka,Ravage Health,Damage Health,,,8572,TRUE
9,Mixed,Ectoplasm,Histcarp,River Betty,2,Fortify Magicka,Damage Health,,,,8688,TRUE
9,Mixed,Ectoplasm,River Betty,Scaly Pholiota,2,Damage Health,Fortify Carry Weight,,,,8875,TRUE
9,Mixed,Ectoplasm,River Betty,Spriggan Sap,2,Damage Health,Fortify Alteration,,,,8876,TRUE
9,Mixed,Ectoplasm,River Betty,Tundra Cotton,2,Damage Health,Fortify Magicka,,,,8878,TRUE
9,Mixed,Ectoplasm,River Betty,Void Salts,2,Damage Health,Fortify Magicka,,,,8880,TRUE
9,Mixed,Fire Salts,Giant Lichen,Hagraven Feathers,2,Restore Magicka,Weakness to Shock,,,,9973,TRUE
9,Mixed,Fire Salts,Giant Lichen,Ice Wraith Teeth,2,Restore Magicka,Weakness to Frost,,,,9974,TRUE
9,Mixed,Fire Salts,Giant Lichen,Void Salts,2,Restore Magicka,Weakness to Shock,,,,9986,TRUE
9,Mixed,Fire Salts,Giant Lichen,White Cap,2,Restore Magicka,Weakness to Frost,,,,9987,TRUE
9,Mixed,Fire Salts,Ice Wraith Teeth,Mora Tapinella,2,Weakness to Frost,Restore Magicka,,,,10033,TRUE
9,Mixed,Fire Salts,Ice Wraith Teeth,Red Mountain Flower,2,Weakness to Frost,Restore Magicka,,,,10038,TRUE
9,Mixed,Fire Salts,Ice Wraith Teeth,Vampire Dust,3,Weakness to Frost,Invisibility,Restore Magicka,,,10045,TRUE
9,Mixed,Fire Salts,Mora Tapinella,White Cap,2,Restore Magicka,Weakness to Frost,,,,10084,TRUE
9,Mixed,Fire Salts,Vampire Dust,White Cap,2,Restore Magicka,Weakness to Frost,,,,10151,TRUE
9,Mixed,Frost Mirriam,Lavender,Purple Mountain Flower,3,Ravage Magicka,Fortify Sneak,Resist Frost,,,10458,TRUE
9,Mixed,Frost Mirriam,Purple Mountain Flower,Red Mountain Flower,3,Resist Frost,Fortify Sneak,Ravage Magicka,,,10516,TRUE
9,Mixed,Frost Mirriam,Purple Mountain Flower,White Cap,3,Resist Frost,Fortify Sneak,Ravage Magicka,,,10524,TRUE
9,Mixed,Giant Lichen,Red Mountain Flower,Skeever Tail,3,Restore Magicka,Ravage Health,Damage Health,,,11218,TRUE
9,Mixed,Hagraven Feathers,Lavender,Void Salts,3,Fortify Conjuration,Weakness to Shock,Resist Magic,,,12111,TRUE
9,Mixed,Histcarp,Red Mountain Flower,River Betty,2,Fortify Magicka,Damage Health,,,,12763,TRUE
9,Mixed,Imp Stool,Red Mountain Flower,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,13475,TRUE
9,Mixed,Imp Stool,River Betty,Scaly Pholiota,2,Damage Health,Fortify Carry Weight,,,,13479,TRUE
9,Mixed,Imp Stool,River Betty,Spriggan Sap,2,Damage Health,Fortify Alteration,,,,13482,TRUE
9,Mixed,Lavender,Red Mountain Flower,Void Salts,4,Ravage Magicka,Resist Magic,Damage Health,Fortify Magicka,,14048,TRUE
9,Mixed,Nightshade,Red Mountain Flower,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,14454,TRUE
9,Mixed,Nightshade,River Betty,Scaly Pholiota,2,Damage Health,Fortify Carry Weight,,,,14458,TRUE
9,Mixed,Nirnroot,Red Mountain Flower,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,14494,TRUE
9,Mixed,Nirnroot,River Betty,Scaly Pholiota,2,Damage Health,Fortify Carry Weight,,,,14499,TRUE
9,Mixed,Nirnroot,River Betty,Spriggan Sap,2,Damage Health,Fortify Alteration,,,,14501,TRUE
9,Mixed,Orange Dartwing,Purple Mountain Flower,Slaughterfish Scales,3,Restore Stamina,Resist Frost,Lingering Damage Health,,,14610,TRUE
9,Mixed,Purple Mountain Flower,Slaughterfish Scales,Torchbug Thorax,3,Resist Frost,Restore Stamina,Lingering Damage Magicka,,,14921,TRUE
9,Mixed,Purple Mountain Flower,Snowberries,Torchbug Thorax,3,Resist Frost,Restore Stamina,Lingering Damage Magicka,,,14933,TRUE
9,Mixed,Purple Mountain Flower,Thistle Branch,Torchbug Thorax,3,Resist Frost,Restore Stamina,Lingering Damage Magicka,,,14942,TRUE
9,Mixed,Red Mountain Flower,River Betty,Scaly Pholiota,2,Damage Health,Fortify Carry Weight,,,,14953,TRUE
9,Mixed,Red Mountain Flower,River Betty,Spriggan Sap,2,Damage Health,Fortify Alteration,,,,14954,TRUE
9,Mixed,Red Mountain Flower,River Betty,Tundra Cotton,2,Damage Health,Fortify Magicka,,,,14956,TRUE
9,Mixed,Red Mountain Flower,River Betty,Void Salts,2,Damage Health,Fortify Magicka,,,,14958,TRUE
9,Mixed,Red Mountain Flower,Skeever Tail,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,14967,TRUE
9,Mixed,Red Mountain Flower,Troll Fat,White Cap,3,Damage Health,Restore Magicka,Ravage Magicka,,,14985,TRUE
9,Mixed,River Betty,Scaly Pholiota,Skeever Tail,2,Fortify Carry Weight,Damage Health,,,,15010,TRUE
9,Mixed,River Betty,Scaly Pholiota,Troll Fat,2,Fortify Carry Weight,Damage Health,,,,15015,TRUE
9,Mixed,River Betty,Scaly Pholiota,Void Salts,2,Fortify Carry Weight,Damage Health,,,,15016,TRUE
9,Mixed,River Betty,Skeever Tail,Spriggan Sap,2,Damage Health,Fortify Alteration,,,,15018,TRUE
9,Mixed,River Betty,Spriggan Sap,Troll Fat,2,Fortify Alteration,Damage Health,,,,15026,TRUE
9,Mixed,River Betty,Spriggan Sap,Void Salts,2,Fortify Alteration,Damage Health,,,,15027,TRUE
9,Potion,Mora Tapinella,Scaly Pholiota,,2,Regenerate Stamina,Fortify Illusion,,,,14278,TRUE
9,Potion,Mora Tapinella,Taproot,,2,Restore Magicka,Fortify Illusion,,,,14295,TRUE
9,Potion,Blisterwort,Butterfly Wing,Spriggan Sap,2,Restore Health,Fortify Smithing,,,,2268,TRUE
9,Potion,Blisterwort,Spriggan Sap,Swamp Fungal Pod,2,Fortify Smithing,Restore Health,,,,2653,TRUE
9,Potion,Blue Butterfly Wing,Lavender,Torchbug Thorax,2,Fortify Conjuration,Fortify Stamina,,,,2971,TRUE
9,Potion,Blue Dartwing,Nordic Barnacle,Vampire Dust,2,Fortify Pickpocket,Regenerate Health,,,,3297,TRUE
9,Potion,Blue Dartwing,Orange Dartwing,Purple Mountain Flower,2,Fortify Pickpocket,Restore Stamina,,,,3303,TRUE
9,Potion,Blue Dartwing,Orange Dartwing,Torchbug Thorax,2,Fortify Pickpocket,Restore Stamina,,,,3313,TRUE
9,Potion,Blue Mountain Flower,Lavender,Torchbug Thorax,2,Fortify Conjuration,Fortify Stamina,,,,3758,TRUE
9,Potion,Bone Meal,Fire Salts,Giant Lichen,2,Resist Fire,Restore Magicka,,,,3952,TRUE
9,Potion,Bone Meal,Fire Salts,Mora Tapinella,2,Resist Fire,Restore Magicka,,,,3963,TRUE
9,Potion,Bone Meal,Fire Salts,Red Mountain Flower,2,Resist Fire,Restore Magicka,,,,3966,TRUE
9,Potion,Bone Meal,Fire Salts,Vampire Dust,2,Resist Fire,Restore Magicka,,,,3972,TRUE
9,Potion,Bone Meal,Lavender,Torchbug Thorax,2,Fortify Conjuration,Fortify Stamina,,,,4103,TRUE
9,Potion,Canis Root,Elves Ear,Giant Lichen,2,Fortify Marksman,Restore Magicka,,,,4980,TRUE
9,Potion,Canis Root,Elves Ear,Mora Tapinella,2,Fortify Marksman,Restore Magicka,,,,4990,TRUE
9,Potion,Canis Root,Elves Ear,Red Mountain Flower,2,Fortify Marksman,Restore Magicka,,,,4994,TRUE
9,Potion,Canis Root,Elves Ear,Taproot,2,Fortify Marksman,Restore Magicka,,,,5000,TRUE
9,Potion,Canis Root,Elves Ear,Vampire Dust,2,Fortify Marksman,Restore Magicka,,,,5001,TRUE
9,Potion,Creep Cluster,Ectoplasm,Tundra Cotton,2,Restore Magicka,Fortify Magicka,,,,6323,TRUE
9,Potion,Creep Cluster,Elves Ear,River Betty,2,Restore Magicka,Fortify Carry Weight,,,,6339,TRUE
9,Potion,Creep Cluster,Elves Ear,Spider Egg,2,Restore Magicka,Fortify Marksman,,,,6346,TRUE
9,Potion,Creep Cluster,Fire Salts,Fly Amanita,2,Restore Magicka,Resist Fire,,,,6353,TRUE
9,Potion,Creep Cluster,Fire Salts,Mudcrab Chitin,2,Restore Magicka,Resist Fire,,,,6364,TRUE
9,Potion,Creep Cluster,Fire Salts,Snowberries,2,Restore Magicka,Resist Fire,,,,6371,TRUE
9,Potion,Creep Cluster,Giant Lichen,River Betty,2,Restore Magicka,Fortify Carry Weight,,,,6444,TRUE
9,Potion,Creep Cluster,Mora Tapinella,River Betty,2,Restore Magicka,Fortify Carry Weight,,,,6672,TRUE
9,Potion,Creep Cluster,Red Mountain Flower,Tundra Cotton,2,Restore Magicka,Fortify Magicka,,,,6715,TRUE
9,Potion,Creep Cluster,River Betty,Vampire Dust,2,Fortify Carry Weight,Restore Magicka,,,,6731,TRUE
9,Potion,Creep Cluster,River Betty,White Cap,2,Fortify Carry Weight,Restore Magicka,,,,6734,TRUE
9,Potion,Dragons Tongue,Fire Salts,Giant Lichen,2,Resist Fire,Restore Magicka,,,,8072,TRUE
9,Potion,Dragons Tongue,Fire Salts,Red Mountain Flower,2,Resist Fire,Restore Magicka,,,,8081,TRUE
9,Potion,Dragons Tongue,Fire Salts,Vampire Dust,2,Resist Fire,Restore Magicka,,,,8087,TRUE
9,Potion,Dragons Tongue,Mora Tapinella,Red Mountain Flower,2,Fortify Illusion,Restore Magicka,,,,8119,TRUE
9,Potion,Dragons Tongue,Mora Tapinella,Scaly Pholiota,2,Fortify Illusion,Regenerate Stamina,,,,8120,TRUE
9,Potion,Dragons Tongue,Mora Tapinella,Taproot,2,Fortify Illusion,Restore Magicka,,,,8124,TRUE
